4543,4,D3,4,I,R
4543,5,D0,5,I,R
4543,6,PH,6,I,R
4543,7,BL,7,I,R
4543,8,VSS,8,W,U
4543,9,Qa,9,O,L
4543,10,Qb,10,O,L
4543,11,Qc,11,O,L
4543,12,Qd,12,O,L
4543,13,Qe,13,O,L
4543,14,Qg,14,O,L
4543,15,Qf,15,O,L
4543,16,VDD,16,W,D
5KPxxA,1,A1,1,P,R
5KPxxA,2,A2,2,P,L
5KPxxCA,1,A1,1,P,R
5KPxxCA,2,A2,2,P,L
5P49V6965,1,CLKIN,1,I,R
5P49V6965,2,CLKINB,2,I,R
5P49V6965,3,XOUT,3,O,R
5P49V6965,4,XIN/REF,4,I,R
5P49V6965,5,VDDA,5,W,D
5P49V6965,6,CLKSEL,6,I,R
5P49V6965,7,SD/OE,7,I,R
5P49V6965,8,SEL1/SDA,8,B,R
5P49V6965,9,SEL0/SCL,9,I,R
5P49V6965,10,VDDO4,10,W,D
5P49V6965,11,OUT4,11,O,L
5P49V6965,12,OUT4B,12,O,L
5P49V6965,13,OUT3B,13,O,L
5P49V6965,14,OUT3,14,O,L
5P49V6965,15,VDDO3,15,W,D
5P49V6965,16,OUT2B,16,O,L
5P49V6965,17,OUT2,17,O,L
5P49V6965,18,VDDO2,18,W,D
5P49V6965,19,OUT1B,19,O,L
5P49V6965,20,OUT1,20,O,L
5P49V6965,21,VDDO1,21,W,D
5P49V6965,22,VDDD,22,W,D
5P49V6965,23,VDDO0,23,W,D
5P49V6965,24,OUT0_SEL_I2CB,24,B,L
5P49V6965,25,GND,25,W,U
ABLNO,1,Vctrl,1,I,R
ABLNO,2,GND,2,W,U
ABLNO,3,RFout,3,O,L
ABLNO,4,VDD,4,W,D
AC,1,AC,1,W,U
ACO-xxxMHz-A,1,Tri-State,1,T,R
ACO-xxxMHz-A,7,GND,7,W,U
ACO-xxxMHz-A,8,OUT,8,O,L
ACO-xxxMHz-A,14,Vcc,14,W,D
AD5593R,1,~RESET,1,I,R
AD5593R,2,A0,2,I,R
AD5593R,3,VDD,3,W,D
AD5593R,4,IO0,4,B,L
