470	4xxx	4072	14	VDD	14	D	3	0	W
471	4xxx	4073	1	~	1	R	1	1	I
472	4xxx	4073	2	~	2	R	1	1	I
473	4xxx	4073	3	~	3	R	2	1	I
474	4xxx	4073	4	~	4	R	2	1	I
475	4xxx	4073	5	~	5	R	2	1	I
476	4xxx	4073	6	~	6	L	2	1	O
477	4xxx	4073	7	VSS	7	U	4	0	W
478	4xxx	4073	8	~	8	R	1	1	I
479	4xxx	4073	9	~	9	L	1	1	O
480	4xxx	4073	10	~	10	L	3	1	O
481	4xxx	4073	11	~	11	R	3	1	I
482	4xxx	4073	12	~	12	R	3	1	I
483	4xxx	4073	13	~	13	R	3	1	I
484	4xxx	4073	14	VDD	14	D	4	0	W
485	4xxx	4075	1	~	1	R	1	1	I
486	4xxx	4075	2	~	2	R	1	1	I
487	4xxx	4075	3	~	3	R	2	1	I
488	4xxx	4075	4	~	4	R	2	1	I
489	4xxx	4075	5	~	5	R	2	1	I
490	4xxx	4075	6	~	6	L	2	1	O
491	4xxx	4075	7	VSS	7	U	4	0	W
492	4xxx	4075	8	~	8	R	1	1	I
493	4xxx	4075	9	~	9	L	1	1	O
494	4xxx	4075	10	~	10	L	3	1	O
495	4xxx	4075	11	~	11	R	3	1	I
496	4xxx	4075	12	~	12	R	3	1	I
497	4xxx	4075	13	~	13	R	3	1	I
498	4xxx	4075	14	VDD	14	D	4	0	W
499	4xxx	4077	1	~	1	R	1	0	I
500	4xxx	4077	2	~	2	R	1	0	I
501	4xxx	4077	3	~	3	L	1	0	O
502	4xxx	4077	4	~	4	L	2	0	O
503	4xxx	4077	5	~	5	R	2	0	I
504	4xxx	4077	6	~	6	R	2	0	I
505	4xxx	4077	7	VSS	7	U	5	0	W
506	4xxx	4077	8	~	8	R	3	0	I
507	4xxx	4077	9	~	9	R	3	0	I
508	4xxx	4077	10	~	10	L	3	0	O
509	4xxx	4077	11	~	11	L	4	0	O
510	4xxx	4077	12	~	12	R	4	0	I
511	4xxx	4077	13	~	13	R	4	0	I
512	4xxx	4077	14	VDD	14	D	5	0	W
513	4xxx	4081	1	~	1	R	1	1	I
514	4xxx	4081	2	~	2	R	1	1	I
515	4xxx	4081	3	~	3	L	1	1	O
516	4xxx	4081	4	~	4	L	2	1	O
517	4xxx	4081	5	~	5	R	2	1	I
518	4xxx	4081	6	~	6	R	2	1	I
519	4xxx	4081	7	VSS	7	U	5	0	W
520	4xxx	4081	8	~	8	R	3	1	I
521	4xxx	4081	9	~	9	R	3	1	I
522	4xxx	4081	10	~	10	L	3	1	O
523	4xxx	4081	11	~	11	L	4	1	O
524	4xxx	4081	12	~	12	R	4	1	I
525	4xxx	4081	13	~	13	R	4	1	I
526	4xxx	4081	14	VDD	14	D	5	0	W
527	4xxx	4098	1	Cx1	1	R	1	1	I
528	4xxx	4098	2	Rx1_Cx1	2	R	1	1	I
529	4xxx	4098	3	~Reset1	3	R	1	1	I
530	4xxx	4098	4	+TR1	4	R	1	1	I
531	4xxx	4098	5	-TR1	5	R	1	1	I
532	4xxx	4098	6	Q1	6	L	1	1	O
533	4xxx	4098	7	~Q1	7	L	1	1	O
534	4xxx	4098	8	VSS	8	U	3	1	W
535	4xxx	4098	9	~Q2	9	L	2	1	O
536	4xxx	4098	10	Q2	10	L	2	1	O
537	4xxx	4098	11	-TR2	11	R	2	1	I
538	4xxx	4098	12	+TR2	12	R	2	1	I
539	4xxx	4098	13	~Reset2	13	R	2	1	I
540	4xxx	4098	14	Rx2_Cx2	14	R	2	1	I
541	4xxx	4098	15	Cx2	15	R	2	1	I
542	4xxx	4098	16	VDD	16	D	3	1	W
543	4xxx	4504	1	VCC	1	D	1	1	W
544	4xxx	4504	2	Aout	2	L	1	1	O
545	4xxx	4504	3	Ain	3	R	1	1	I
546	4xxx	4504	4	Bout	4	L	1	1	O
547	4xxx	4504	5	Bin	5	R	1	1	I
548	4xxx	4504	6	Cout	6	L	1	1	O
549	4xxx	4504	7	Cin	7	R	1	1	I
550	4xxx	4504	8	VSS	8	U	1	1	W
551	4xxx	4504	9	Din	9	R	1	1	I
552	4xxx	4504	10	Dout	10	L	1	1	O
553	4xxx	4504	11	Ein	11	R	1	1	I
554	4xxx	4504	12	Eout	12	L	1	1	O
555	4xxx	4504	13	Select	13	R	1	1	I
556	4xxx	4504	14	Fin	14	R	1	1	I
557	4xxx	4504	15	Fout	15	L	1	1	O
558	4xxx	4504	16	VDD	16	D	1	1	W
559	4xxx	4510	1	PE	1	R	1	0	I
